station_name,lat,lng,avg_from_duration,peak_leaving,trips_from,from_rank,avg_to_duration,peak_arriving,trips_to,to_rank
1 Ave & E 110 St,40.79226200000386,-73.93832727236482,15.764932975871314,13,9325,477,15.616987179487179,14,9360,474
1 Ave & E 16 St,40.73223495284463,-73.98164699113944,12.195850650677931,13,29354,50,11.575638099190703,14,28914,51
1 Ave & E 18 St,40.73385986529428,-73.98053558532536,12.43620015100556,13,29138,51,12.070026470487125,14,29089,49
1 Ave & E 30 St,40.74146960360452,-73.97535523705331,12.351557999476302,13,19095,175,12.128743923474989,12,19131,177
1 Ave & E 39 St,40.74715309813934,-73.97110862842352,13.506584124652433,13,19061,177,13.258354218880534,14,19152,176
1 Ave & E 44 St,40.74995848698408,-73.9690851671937,15.377470791388053,14,13609,301,15.262608439935304,13,13602,297
1 Ave & E 5 St,40.725864,-73.986389,15.62088130210401,14,5038,787,16.114274338044993,15,5023,794
1 Ave & E 6 St,40.726321891848684,-73.98616373140868,12.026523083059129,13,20058,158,11.790285006195786,15,20175,155
1 Ave & E 62 St,40.76118569160829,-73.960942925441,14.748420142353488,14,30066,43,15.540888473852721,14,29984,41
1 Ave & E 68 St,40.76498297831173,-73.9581961034436,14.7082873922729,13,44441,4,13.869081407397395,11,44394,4
1 Ave & E 78 St,40.771399840916914,-73.95351468384999,15.378030926891755,13,21858,128,15.909539248367505,15,21899,127
1 Ave & E 94 St,40.78172358378516,-73.94594781931636,16.462853653572157,13,9826,455,15.971507352941176,14,9792,457
1 Pl & Clinton St,40.681113909779064,-73.99896367725626,13.927972865123703,13,5012,792,14.876880443388757,15,5052,787
1 St & 6 Ave,40.672902269590345,-73.97978894027015,12.390550740844283,13,3577,950,11.747679324894515,15,3555,952
10 Ave & W 14 St,40.74195464233976,-74.00825676257539,20.563969165371315,15,31523,32,22.17619952050316,14,32117,31
10 Ave & W 202 St,40.86117941898646,-73.92150114632118,18.65321375186846,15,669,1673,18.21664275466284,14,697,1664
10 Ave & W 204 St,40.861803800252574,-73.92052073907126,15.807600950118765,15,421,1799,15.920081967213115,15,488,1764
10 Ave & W 207 St,40.86463864150033,-73.91859813128946,14.556974459724952,14,1018,1509,13.725746268656716,14,1072,1490
10 Ave & W 215 St,40.86927231998042,-73.91521931762493,20.720588235294116,14,476,1773,15.927813163481954,13,471,1772
10 Ave & W 28 St,40.750645135292146,-74.00174845377775,14.05875519256495,14,28406,53,12.486116055535778,14,28090,56
10 St & 2 Ave,40.6720296241052,-73.99357187493672,14.16660796054949,14,2839,1051,14.494998275267333,14,2899,1035
10 St & 4 Ave,40.67010182627456,-73.98882491413767,10.953105196451205,13,1578,1310,11.608142493638677,14,1572,1303
10 St & 5 Ave,40.6688355067698,-73.98690814389747,14.176352705410821,14,4990,794,13.714427662957075,14,5032,793
10 St & 7 Ave,40.666368842261484,-73.98197456792379,13.079962915749217,14,8629,504,13.416367635142956,14,8639,503
100 St & 37 Ave,40.75237314619999,-73.86718320213335,17.0,17,15,2037,22.347826086956523,15,23,2045
100 St & Humphreys St,40.765786773428566,-73.87011422757143,12.571428571428571,16,7,2043,9.777777777777779,18,9,2066
100 St & Northern Blvd,40.757527700555556,-73.86846654331946,17.34722222222222,15,72,2009,24.32051282051282,15,78,2011
104 St & 38 Ave,40.75131296886458,-73.86239551652083,27.28125,16,32,2027,34.41818181818182,15,55,2024
104 St & Northern Blvd,40.757472850727275,-73.86461357254547,12.272727272727273,16,11,2040,17.0,15,20,2046
108 St & 39 Ave,40.751682496236846,-73.85919513436842,27.81578947368421,16,38,2024,37.39344262295082,16,61,2019
11 Ave & Prospect Ave,40.656705099369624,-73.97732067267644,12.736656062212797,13,2829,1054,11.733845616486203,15,2863,1042
11 Ave & W 27 St,40.7513851469995,-74.00518411549338,16.83117504230741,14,27182,63,16.174599660541656,14,27102,65
11 Ave & W 41 St,40.76028138448997,-73.99877189705555,14.502100940648427,14,41886,6,14.663743740865858,15,41739,7
11 Ave & W 59 St,40.77146195148202,-73.99045306726653,17.550097785054806,14,21987,126,18.55043980208906,15,21828,129
11 St & 35 Ave,40.7627442,-73.9391141,15.49375,15,160,1951,15.393103448275863,15,145,1966
11 St & 43 Ave,40.75188963918676,-73.94792808916938,17.27733829688227,14,2149,1175,15.170518970780638,13,2293,1136
12 Ave & 36 St,40.64374078449612,-73.98638832305407,19.86200716845878,13,1116,1472,21.182525951557093,15,1156,1457
12 Ave & W 125 St,40.81824321756823,-73.96040417136318,29.273389355742296,15,12495,326,29.15279091769158,15,12684,320
12 Ave & W 40 St,40.76086096997805,-74.00275293386612,23.075299686616553,14,45631,3,22.711196372514824,15,45872,3
12 St & 4 Ave,40.668757451568936,-73.990361906185,15.682135193133048,14,3728,939,16.20725251455797,14,3778,927
14 St & 5 Ave,40.66648019024007,-73.98891914392466,14.580943188086046,14,7252,592,15.273487861747359,14,7291,590
14 St & 7 Ave,40.66399939242506,-73.98391262405352,14.055880353501019,14,7355,586,14.202620689655172,15,7250,592
16th St & 4th Ave,40.666356786632164,-73.9924382770506,13.929269695227141,13,1739,1259,15.570538243626062,14,1765,1255
17 St & 5 Ave,40.66367325260657,-73.99093940300367,12.49633072407045,14,4088,890,13.340445936226324,15,4171,882
18 St & 27 Ave,40.7726467567019,-73.92751754894914,11.309912536443148,13,3430,973,12.609562921677911,15,3409,974
19 St & 24 Ave,40.77740762511096,-73.92260655348602,15.038746630727763,14,5936,696,14.403423393186776,15,5959,696
19 St & 8 Ave,40.65859955997569,-73.98554924985967,12.390055248618784,13,905,1564,10.987270155586987,14,707,1657
2 Av & 37 St,40.656321843391815,-74.00964379011403,18.07017543859649,15,342,1846,15.534042553191489,12,470,1773
2 Ave & 32 St,40.659637175336634,-74.00646814714466,21.023102310231025,15,606,1706,19.5006711409396,13,745,1641
2 Ave & 36 St,40.657174976109765,-74.00861586634977,26.4867813680235,15,2383,1122,26.263574660633484,13,2652,1075
2 Ave & 39 St,40.656270457997174,-74.00963600918853,17.414285714285715,15,280,1884,17.235915492957748,12,284,1883
2 Ave & 43 St,40.65288982694025,-74.01289039751074,21.63013698630137,15,146,1958,19.67105263157895,13,152,1962
2 Ave & 44 St,40.65284336274123,-74.0131135272784,19.993288590604028,15,149,1957,17.820809248554912,13,173,1948
2 Ave & E 104 St,40.78909214292794,-73.94379220178153,13.77802602181627,13,7609,568,14.570694426143103,15,7589,565
2 Ave & E 122 St,40.800507417561036,-73.93498631361115,17.222063378603764,13,4197,881,17.998816007577553,14,4223,872
2 Ave & E 125 St,40.80237974462048,-73.93369213563142,17.030683133925127,13,5182,777,16.67063339731286,13,5210,776
2 Ave & E 29 St,40.741763065677425,-73.97808465878651,12.06841774902226,14,20711,144,11.915368564080167,14,20607,148
2 Ave & E 31 St,40.74293532745448,-73.97705375407192,13.267054908485857,14,30050,44,14.093287067930069,14,29972,42
2 Ave & E 55 St,40.75790354980106,-73.96637261742111,15.203219977000165,14,6087,685,14.060379328345224,14,5747,714
2 Ave & E 72 St,40.76869811228378,-73.95846093854455,15.705673758865249,14,24534,95,14.032992546128467,14,24551,93
2 Ave & E 96 St,40.78393354777278,-73.94719895758087,14.950185341744163,13,15377,255,13.02360054612834,14,15381,251
2 Ave & E 99 St,40.7862515440655,-73.94556117631728,14.51339894019682,13,6605,638,14.377747252747254,14,6552,644
2 St & Park Ave,40.72868955,-74.01200281666667,6.0,14,1,2069,19.5,17,6,2075
20 Ave & 21 St,40.78359644328779,-73.9127811468716,12.421052631578947,14,893,1570,12.589164785553047,15,886,1572
